species_names,bodymass,snoutlength,thighmuscle
Uta stansburiana,3.5,52,11.8
Urosaurus ornatus,3.5,52,11.7
Sceloporus graciosus,7.5,66,23.1
Sceloporus magister,34,105,53.3
Sceloporus undulatus,4.5,59,15.8
Sceloporus virgatus,5.5,60,19.2
Uma notata,31.5,110,56.3
Callisaurus draconoides,10.6,76,25.9
Cophosaurus texanus,11.3,76,29.3
Holbrookia maculata,3.9,50,13.1
Phrynosoma cornutum,38.5,97,37
Phrynosoma platyrhinos,17.4,77,27.2
Phrynosoma mcallii,12.7,73,19.6
Phrynosoma modestum,5.3,51,6.7
Gambelia wislizenii,16.7,89,35.7
Crotaphytus collaris,39.2,108,68.3
Dipsosaurus dorsalis,65,122,58.3
Laudakia stellio,51.4,110,71
Aspidoscelis tigris,10.4,82,24.6
Podarcis sicula,3.8,59,8.9
Acanthodactylus scutellatus,7.6,73,18.4
Carlia fusca,3.5,59,6.5
Eumeces fasciatus,5.9,70,10.7
Elgaria kingii,10,93,7.2