species_names,thickness,distance,polyp
Pseudoplexaura crucis,3.53,1.34,0.88
Muricea muricata,2.82,1.12,0.73
Muricea pinnata,5.22,1.44,0.9
Eunicea sp.,11.48,3.87,2
Eunicea tourneforti,7.26,2.22,1.12
Plexaura kuna,2.48,1.07,0.6
Plexaura flexuosa,3.82,1.24,0.48
Pterogorgia citrina,2.41,1.11,1.02
Pterogorgia anceps,5.55,0.94,0.83
Muriceopsis flavida,1.54,0.91,0.42
Plexaurella grisea,4.42,1.75,0.78
Plexaurella dichotoma,7.44,1.96,1.09
Plexaurella nutans,13.03,3.88,2.18
Leptogorgia virgulata,2.11,1.2,0.58
Pacifigorgia elegans,1.12,0.68,0.39
Pseudopterogorgia acerosa,1.52,0.92,0.37
Pseudopterogorgia americana,1.56,0.93,0.87
Gorgonia ventalina,1.07,0.58,0.34
Pseudopterogorgia elisabetha,1.73,1,0.76
Gorgonia mariae,1.77,0.84,0.37
Pseudopterogorgia bipinnata,1.24,0.76,0.7